contig	cov_mean_sample_C13.sorted	cov_mean_sample_C1.sorted	cov_mean_sample_C27.sorted	cov_mean_sample_C32.sorted	cov_mean_sample_C45.sorted	cov_mean_sample_C51.sorted
k141_21824.concoct_part_0	0.000	0.000	1.672	0.000	0.150	0.000
k141_43634.concoct_part_0	1.413	0.000	0.000	0.000	0.000	0.000
k141_45810.concoct_part_0	0.000	0.000	2.086	0.000	0.000	0.000
k141_22.concoct_part_0	0.000	2.064	0.000	0.000	0.000	0.000
k141_28366.concoct_part_0	0.190	0.229	0.000	0.070	2.174	0.000
k141_30549.concoct_part_0	0.000	0.000	0.000	3.349	0.000	0.000
k141_41455.concoct_part_0	1.925	0.190	0.000	0.000	0.000	0.000
k141_21825.concoct_part_0	2.069	0.000	0.000	0.197	0.000	0.000
k141_45811.concoct_part_0	0.000	0.000	0.000	0.000	2.118	0.000
k141_2190.concoct_part_0	0.000	0.000	1.317	0.244	0.000	0.000
k141_13103.concoct_part_0	0.000	0.000	1.790	0.000	0.000	0.000
k141_50173.concoct_part_0	0.000	3.881	0.000	0.000	0.124	0.408
k141_6562.concoct_part_0	1.454	0.000	0.000	0.000	0.000	0.000
k141_34909.concoct_part_0	0.000	0.000	0.000	0.000	1.923	0.000
k141_4370.concoct_part_0	0.000	0.000	1.609	0.000	0.000	0.215
k141_23.concoct_part_0	2.222	0.814	0.000	0.874	0.000	0.000
k141_47988.concoct_part_0	0.000	0.000	1.877	0.000	0.000	0.000
k141_17452.concoct_part_0	2.101	0.610	0.000	0.584	0.000	0.000
k141_19639.concoct_part_0	2.716	0.000	0.000	0.000	0.000	0.000
k141_50174.concoct_part_0	0.000	1.603	0.000	0.000	0.000	0.000
k141_43635.concoct_part_0	2.554	0.000	0.000	0.731	0.000	0.000
k141_37085.concoct_part_0	0.000	0.000	0.000	3.532	0.000	0.000
k141_30550.concoct_part_0	0.000	0.000	2.150	0.000	0.000	0.195
k141_28367.concoct_part_0	3.479	0.000	0.000	0.401	0.000	0.195
k141_4371.concoct_part_0	0.000	0.000	4.101	0.000	0.000	0.000
k141_6563.concoct_part_0	0.000	2.072	0.000	0.000	0.000	0.000
k141_37086.concoct_part_0	0.000	0.000	1.782	0.000	0.000	0.000
k141_41456.concoct_part_0	0.000	0.000	2.725	0.000	0.000	0.000
k141_26180.concoct_part_0	0.000	1.264	0.000	0.000	2.292	0.164
k141_30551.concoct_part_0	0.736	0.438	0.000	0.000	0.875	0.000
k141_10918.concoct_part_0	1.451	0.843	0.000	0.304	0.000	0.446
k141_8732.concoct_part_0	0.000	0.353	1.905	0.000	0.000	0.000
k141_45812.concoct_part_0	0.000	0.000	0.000	2.559	0.000	0.000
k141_15275.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.146
k141_13104.concoct_part_0	0.543	0.000	1.045	0.000	0.000	0.000
k141_43636.concoct_part_0	0.000	0.000	2.177	0.000	0.000	0.000
k141_24.concoct_part_0	0.000	1.442	0.000	0.000	1.027	0.164
k141_10919.concoct_part_0	0.000	0.435	0.303	0.000	1.167	0.435
k141_17453.concoct_part_0	0.000	0.000	0.000	0.000	2.811	0.000
k141_34910.concoct_part_0	0.000	1.274	0.000	0.000	1.349	0.281
k141_26181.concoct_part_0	0.000	0.000	2.163	0.000	0.418	0.000
k141_30552.concoct_part_0	0.000	0.000	0.000	0.000	1.388	0.393
k141_6564.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.070
k141_41457.concoct_part_0	0.000	0.481	0.000	0.000	1.728	0.000
k141_4372.concoct_part_0	1.415	0.900	0.000	0.000	0.430	0.000
k141_10920.concoct_part_0	0.511	0.000	0.000	0.000	1.576	0.486
k141_15276.concoct_part_0	0.000	0.000	0.000	0.000	2.961	0.000
k141_30553.concoct_part_0	1.928	0.000	0.000	0.647	0.000	0.000
k141_37087.concoct_part_0	0.082	0.000	3.819	0.000	0.420	0.000
k141_43637.concoct_part_0	0.000	0.274	3.312	0.000	0.000	0.000
k141_32729.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.892
k141_26182.concoct_part_0	0.000	0.000	1.941	0.000	0.000	0.000
k141_25.concoct_part_0	0.000	0.000	0.000	0.000	2.145	0.000
k141_45813.concoct_part_0	0.000	0.000	1.999	0.000	0.000	0.045
k141_41458.concoct_part_0	0.000	1.264	0.000	0.000	0.759	0.960
k141_13105.concoct_part_0	0.000	0.000	3.307	0.000	0.654	0.000
k141_30554.concoct_part_0	0.379	0.991	0.000	0.000	0.000	0.621
k141_50175.concoct_part_0	0.000	0.000	0.000	0.000	2.906	0.116
k141_6565.concoct_part_0	0.000	1.378	0.000	0.000	0.628	0.079
k141_15277.concoct_part_0	3.598	0.000	0.000	0.000	0.000	0.000
k141_28368.concoct_part_0	0.000	0.000	2.723	0.000	0.000	0.000
k141_34911.concoct_part_0	0.000	0.000	0.713	0.447	0.000	0.000
k141_10921.concoct_part_0	0.000	0.000	2.646	0.000	0.000	0.000
k141_32730.concoct_part_0	1.135	1.576	0.000	0.000	0.364	0.000
k141_26.concoct_part_0	2.511	0.000	0.000	0.611	0.000	0.000
k141_47989.concoct_part_0	1.769	0.414	0.000	0.479	1.006	0.000
k141_6566.concoct_part_0	0.000	0.000	0.000	3.389	0.000	0.000
k141_21826.concoct_part_0	0.200	0.000	3.101	0.000	1.179	0.000
k141_13106.concoct_part_0	0.907	0.000	0.000	0.000	0.477	0.000
k141_43638.concoct_part_0	0.000	0.000	0.000	0.000	0.112	2.695
k141_50176.concoct_part_0	0.000	0.000	0.000	1.940	0.205	0.000
k141_4373.concoct_part_0	0.000	0.000	0.000	0.000	4.015	0.000
k141_19640.concoct_part_0	0.000	2.405	0.000	0.000	3.229	1.086
k141_10922.concoct_part_0	0.000	0.000	1.492	0.000	0.000	0.000
k141_45814.concoct_part_0	0.000	0.000	1.232	0.000	0.000	0.579
k141_8733.concoct_part_0	0.000	0.000	0.000	0.000	2.650	0.000
k141_21827.concoct_part_0	0.000	0.000	1.000	0.000	0.000	0.000
